6,247,AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,USA,1.44B,34.39
7,248,AMRH,"Ameri Holdings, Inc.",Technology,Information Technology Services,USA,6.71M,-
8,249,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,178.51M,15.48
9,250,AMRN,Amarin Corporation plc,Healthcare,Biotechnology,Ireland,1.71B,-
10,251,AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA,687.09M,-
11,252,AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.15B,-
12,253,AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,USA,11.13M,-
13,254,AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery,USA,279.66M,-
14,255,AMSF,"AMERISAFE, Inc.",Financial,Insurance - Specialty,USA,1.24B,13.72
15,256,AMSWA,"American Software, Inc.",Technology,Software - Application,USA,456.99M,59.49
16,257,AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty,USA,111.20B,57.62
17,258,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,454.00M,38.75
18,259,AMTD,TD Ameritrade Holding Corporation,Financial,Capital Markets,USA,19.86B,10.50
19,260,AMTI,Applied Molecular Transport Inc.,Healthcare,Biotechnology,USA,931.86M,-
0,261,AMTX,"Aemetis, Inc.",Energy,Oil & Gas Refining & Marketing,USA,41.58M,-
1,262,AMWD,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1.42B,21.63
2,263,AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services,Mexico,41.22B,35.40
3,264,AMYT,Amryt Pharma plc,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,412.10M,-
4,265,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1625.82B,122.04
5,266,AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,4.92B,16.37
6,267,ANAB,"AnaptysBio, Inc.",Healthcare,Biotechnology,USA,418.84M,-
7,268,ANAT,"American National Group, Inc.",Financial,Insurance - Diversified,USA,1.97B,7.94
8,269,ANCN,Anchiano Therapeutics Ltd,Healthcare,Biotechnology,USA,7.23M,-
9,270,ANDA,Andina Acquisition Corp. III,Financial,Shell Companies,Colombia,98.03M,84.92
10,271,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,549.73M,-
11,272,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,16.10B,21.95
12,273,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,USA,834.01M,-
13,274,ANGI,ANGI Homeservices Inc.,Communication Services,Internet Content & Information,USA,6.70B,300.48
14,275,ANGO,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies,USA,348.80M,-
15,276,ANH,Anworth Mortgage Asset Corporation,Real Estate,REIT - Mortgage,USA,171.50M,-
16,277,ANIK,"Anika Therapeutics, Inc.",Healthcare,Biotechnology,USA,524.26M,47.18
17,278,ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,349.88M,-
18,279,ANIX,"Anixa Biosciences, Inc.",Healthcare,Diagnostics & Research,USA,47.80M,-
19,280,ANNX,"Annexon, Inc.",Healthcare,Biotechnology,USA,959.94M,-
